Wavelength, Spectrum
339.950650,16.990556
340.328604,27092.654444
340.706518,2094.692778
341.084392,2118.965000
341.462226,2053.430000
341.840021,2038.866667
342.217775,1983.040556
342.595490,2077.702222
342.973165,2012.167222
343.350800,2072.847778
343.728395,2089.838333
344.105950,2118.965000
344.483465,2060.711667
344.860941,2118.965000
345.238376,2135.955556
345.615772,2235.471667
345.993127,2143.237222
346.370443,2201.490556
346.747718,2186.927222
347.124954,2201.490556
347.502150,2216.053889
347.879305,2267.025556
348.256421,2203.917778
348.633497,2284.016111
349.010533,2330.133333
349.387528,2327.706111
349.764484,2325.278889
350.141400,2308.288333
350.518276,2351.978333
350.895111,2337.415000
351.271907,2417.513333
351.648662,2344.696667
352.025378,2427.222222
352.402053,2419.940556
352.778689,2402.950000
353.155284,2371.396111
353.531839,2417.513333
353.908354,2468.485000
354.284829,2444.212778
354.661264,2422.367778
355.037659,2449.067222
355.414014,2449.067222
355.790328,2385.959444
356.166603,2412.658889
356.542837,2441.785556
356.919031,2439.358333
357.295185,2415.086111
357.671299,2432.076667
358.047372,2432.076667
358.423406,2432.076667
358.799399,2473.339444
359.175352,2388.386667
359.551265,2364.114444
359.927137,2364.114444
360.302970,2393.241111
360.678762,2485.475556
361.054514,2439.358333
361.430225,2427.222222
361.805897,2466.057778
362.181528,2451.494444
362.557119,2405.377222
362.932669,2347.123889
363.308180,2419.940556
363.683650,2376.250556
364.059080,2407.804444
364.434469,2432.076667
364.809818,2470.912222
365.185127,2415.086111
365.560396,2466.057778
365.935624,2419.940556
366.310812,2383.532222
366.685959,2427.222222
367.061067,2456.348889
367.436133,2415.086111
367.811160,2361.687222
368.186146,2378.677778
368.561092,2415.086111
368.935997,2376.250556
369.310862,2383.532222
369.685686,2502.466111
370.060470,2361.687222
370.435214,2412.658889
370.809917,2441.785556
371.184580,2393.241111
371.559203,2402.950000
371.933785,2381.105000
372.308326,2451.494444
372.682827,2461.203333
373.057288,2378.677778
373.431708,2432.076667
373.806087,2395.668333
374.180426,2441.785556
374.554725,2417.513333
374.928983,2390.813889
375.303201,2388.386667
375.677378,2407.804444
376.051514,2466.057778
376.425610,2449.067222
376.799666,2419.940556
377.173681,2415.086111
377.547655,2405.377222
377.921589,2429.649444
378.295482,2415.086111
378.669335,2410.231667
379.043147,2378.677778
379.416918,2393.241111
379.790649,2478.193889
380.164339,2451.494444
380.537989,2390.813889
380.911598,2478.193889
381.285166,2436.931111
381.658694,2410.231667
382.032181,2466.057778
382.405627,2473.339444
382.779033,2473.339444
383.152398,2434.503889
383.525723,2473.339444
383.899006,2371.396111
384.272249,2446.640000
384.645452,2475.766667
385.018613,2446.640000
385.391734,2451.494444
385.764815,2415.086111
386.137854,2410.231667
386.510853,2429.649444
386.883811,2444.212778
387.256728,2427.222222
387.629605,2407.804444
388.002440,2458.776111
388.375235,2395.668333
388.747989,2354.405556
389.120703,2390.813889
389.493376,2463.630556
389.866007,2449.067222
390.238598,2446.640000
390.611149,2432.076667
390.983658,2483.048333
391.356126,2490.330000
391.728554,2410.231667
392.100941,2473.339444
392.473287,2422.367778
392.845592,2441.785556
393.217856,2417.513333
393.590080,2415.086111
393.962262,2393.241111
394.334404,2446.640000
394.706505,2519.456667
395.078565,2439.358333
395.450584,2407.804444
395.822562,2427.222222
396.194499,2415.086111
396.566395,2500.038889
396.938250,2395.668333
397.310064,2429.649444
397.681838,2419.940556
398.053570,2500.038889
398.425261,2466.057778
398.796912,2495.184444
399.168521,2502.466111
399.540090,2415.086111
399.911617,2412.658889
400.283103,2429.649444
400.654549,2429.649444
401.025953,2383.532222
401.397316,2500.038889
401.768639,2466.057778
402.139920,2419.940556
402.511160,2487.902778
402.882359,2436.931111
403.253518,2451.494444
403.624635,2400.522778
403.995711,2541.301667
404.366745,2434.503889
404.737739,2453.921667
405.108692,2490.330000
405.479603,2463.630556
405.850474,2422.367778
406.221303,2466.057778
406.592091,2417.513333
406.962838,2407.804444
407.333544,2407.804444
407.704209,2490.330000
408.074833,2453.921667
408.445415,2541.301667
408.815956,2453.921667
409.186456,2419.940556
409.556915,2393.241111
409.927333,2456.348889
410.297709,2432.076667
410.668044,2402.950000
411.038339,2449.067222
411.408591,2461.203333
411.778803,2371.396111
412.148973,2432.076667
412.519102,2466.057778
412.889190,2492.757222
413.259237,2417.513333
413.629242,2410.231667
413.999206,2436.931111
414.369129,2463.630556
414.739010,2461.203333
415.108850,2512.175000
415.478649,2400.522778
415.848407,2415.086111
416.218123,2432.076667
416.587798,2461.203333
416.957431,2330.133333
417.327023,2424.795000
417.696574,2446.640000
418.066083,2451.494444
418.435552,2422.367778
418.804978,2487.902778
419.174364,2398.095556
419.543708,2410.231667
419.913010,2490.330000
420.282271,2461.203333
420.651491,2502.466111
421.020669,2415.086111
421.389806,2453.921667
421.758902,2475.766667
422.127956,2451.494444
422.496968,2470.912222
422.865939,2441.785556
423.234869,2480.621111
423.603757,2492.757222
423.972604,2495.184444
424.341409,2417.513333
424.710173,2490.330000
425.078895,2422.367778
425.447576,2475.766667
425.816215,2483.048333
426.184813,2424.795000
426.553369,2456.348889
426.921883,2427.222222
427.290356,2385.959444
427.658788,2500.038889
428.027178,2500.038889
428.395526,2473.339444
428.763833,2473.339444
429.132098,2466.057778
429.500322,2495.184444
429.868504,2509.747778
430.236644,2378.677778
430.604743,2456.348889
430.972801,2473.339444
431.340816,2381.105000
431.708790,2427.222222
432.076722,2453.921667
432.444613,2463.630556
432.812462,2475.766667
433.180270,2415.086111
433.548035,2497.611667
433.915759,2446.640000
434.283442,2436.931111
434.651082,2449.067222
435.018681,2383.532222
435.386238,2497.611667
435.753754,2424.795000
436.121228,2531.592778
436.488660,2410.231667
436.856050,2485.475556
437.223399,2444.212778
437.590706,2432.076667
437.957971,2553.437778
438.325194,2429.649444
438.692376,2468.485000
439.059516,2563.146667
439.426614,2485.475556
439.793670,2507.320556
440.160684,2419.940556
440.527657,2483.048333
440.894588,2487.902778
441.261476,2449.067222
441.628324,2512.175000
441.995129,2478.193889
442.361892,2432.076667
442.728614,2478.193889
443.095294,2453.921667
443.461932,2504.893333
443.828527,2453.921667
444.195082,2524.311111
444.561594,2478.193889
444.928064,2422.367778
445.294493,2449.067222
445.660879,2490.330000
446.027224,2410.231667
446.393526,2434.503889
446.759787,2451.494444
447.126006,2410.231667
447.492183,2456.348889
447.858318,2497.611667
448.224410,2446.640000
448.590461,2480.621111
448.956470,2468.485000
449.322437,2468.485000
449.688362,2497.611667
450.054245,2497.611667
450.420086,2412.658889
450.785885,2453.921667
451.151642,2376.250556
451.517357,2463.630556
451.883030,2531.592778
452.248661,2509.747778
452.614250,2543.728889
452.979796,2475.766667
453.345301,2466.057778
453.710764,2470.912222
454.076184,2422.367778
454.441563,2483.048333
454.806899,2526.738333
455.172193,2439.358333
455.537445,2538.874444
455.902655,2461.203333
456.267823,2446.640000
456.632949,2434.503889
456.998032,2517.029444
457.363074,2504.893333
457.728073,2461.203333
458.093030,2449.067222
458.457945,2441.785556
458.822818,2512.175000
459.187649,2385.959444
459.552437,2378.677778
459.917183,2497.611667
460.281887,2427.222222
460.646549,2500.038889
461.011169,2461.203333
461.375746,2444.212778
461.740281,2424.795000
462.104774,2483.048333
462.469225,2441.785556
462.833633,2548.583333
463.197999,2480.621111
463.562323,2485.475556
463.926604,2538.874444
464.290844,2514.602222
464.655041,2456.348889
465.019195,2432.076667
465.383308,2478.193889
465.747378,2466.057778
466.111405,2468.485000
466.475391,2483.048333
466.839334,2504.893333
467.203235,2512.175000
467.567093,2424.795000
467.930909,2531.592778
468.294683,2470.912222
468.658414,2512.175000
469.022103,2500.038889
469.385749,2480.621111
469.749353,2427.222222
470.112915,2456.348889
470.476434,2504.893333
470.839911,2466.057778
471.203345,2553.437778
471.566737,2453.921667
471.930087,2449.067222
472.293394,2551.010556
472.656659,2419.940556
473.019881,2458.776111
473.383060,2495.184444
473.746198,2478.193889
474.109292,2480.621111
474.472345,2512.175000
474.835354,2507.320556
475.198322,2347.123889
475.561246,2526.738333
475.924129,2500.038889
476.286968,2417.513333
476.649765,2439.358333
477.012520,2485.475556
477.375232,2487.902778
477.737901,2461.203333
478.100528,2492.757222
478.463113,2444.212778
478.825654,2487.902778
479.188154,2497.611667
479.550610,2509.747778
479.913024,2456.348889
480.275395,2432.076667
480.637724,2531.592778
481.000010,2517.029444
481.362254,2470.912222
481.724455,2439.358333
482.086613,2432.076667
482.448728,2451.494444
482.810801,2507.320556
483.172831,2534.020000
483.534819,2453.921667
483.896764,2451.494444
484.258666,2509.747778
484.620525,2458.776111
484.982342,2521.883889
485.344116,2495.184444
485.705847,2509.747778
486.067536,2500.038889
486.429182,2424.795000
486.790785,2441.785556
487.152345,2424.795000
487.513863,2504.893333
487.875338,2475.766667
488.236770,2451.494444
488.598159,2456.348889
488.959506,2456.348889
489.320809,2458.776111
489.682070,2492.757222
490.043288,2500.038889
490.404464,2507.320556
490.765596,2478.193889
491.126686,2560.719444
491.487732,2436.931111
491.848736,2509.747778
492.209697,2453.921667
492.570616,2483.048333
492.931491,2475.766667
493.292323,2483.048333
493.653113,2480.621111
494.013860,2485.475556
494.374564,2480.621111
494.735224,2487.902778
495.095842,2485.475556
495.456417,2509.747778
495.816950,2502.466111
496.177439,2456.348889
496.537885,2390.813889
496.898288,2419.940556
497.258649,2509.747778
497.618966,2509.747778
497.979241,2560.719444
498.339472,2487.902778
498.699660,2483.048333
499.059806,2427.222222
499.419908,2534.020000
499.779968,2480.621111
500.139984,2526.738333
500.499958,2480.621111
500.859888,2453.921667
501.219775,2478.193889
501.579620,2466.057778
501.939421,2468.485000
502.299179,2543.728889
502.658894,2509.747778
503.018566,2458.776111
503.378195,2555.865000
503.737781,2502.466111
504.097324,2497.611667
504.456824,2538.874444
504.816280,2521.883889
505.175694,2492.757222
505.535064,2500.038889
505.894391,2453.921667
506.253675,2538.874444
506.612916,2495.184444
506.972114,2538.874444
507.331268,2485.475556
507.690380,2475.766667
508.049448,2495.184444
508.408473,2551.010556
508.767455,2475.766667
509.126394,2478.193889
509.485289,2531.592778
509.844141,2473.339444
510.202950,2475.766667
510.561716,2463.630556
510.920439,2478.193889
511.279118,2485.475556
511.637754,2504.893333
511.996347,2546.156111
512.354897,2538.874444
512.713403,2546.156111
513.071866,2463.630556
513.430285,2400.522778
513.788662,2478.193889
514.146995,2553.437778
514.505285,2521.883889
514.863531,2456.348889
515.221734,2609.263889
515.579894,2429.649444
515.938011,2434.503889
516.296084,2509.747778
516.654114,2478.193889
517.012100,2485.475556
517.370043,2536.447222
517.727943,2519.456667
518.085799,2553.437778
518.443612,2468.485000
518.801381,2502.466111
519.159108,2536.447222
519.516790,2480.621111
519.874430,2517.029444
520.232025,2473.339444
520.589578,2485.475556
520.947087,2531.592778
521.304552,2538.874444
521.661974,2584.991667
522.019353,2500.038889
522.376688,2560.719444
522.733980,2495.184444
523.091228,2509.747778
523.448432,2560.719444
523.805594,2538.874444
524.162711,2485.475556
524.519785,2517.029444
524.876816,2490.330000
525.233803,2500.038889
525.590747,2568.001111
525.947647,2497.611667
526.304503,2468.485000
526.661316,2475.766667
527.018085,2534.020000
527.374811,2500.038889
527.731493,2531.592778
528.088132,2492.757222
528.444727,2541.301667
528.801278,2502.466111
529.157786,2427.222222
529.514250,2524.311111
529.870671,2524.311111
530.227047,2504.893333
530.583381,2534.020000
530.939670,2536.447222
531.295916,2487.902778
531.652118,2560.719444
532.008277,2521.883889
532.364392,2502.466111
532.720463,2526.738333
533.076491,2512.175000
533.432475,2490.330000
533.788415,2412.658889
534.144311,2509.747778
534.500164,2473.339444
534.855973,2524.311111
535.211738,2470.912222
535.567460,2568.001111
535.923137,2568.001111
536.278771,2543.728889
536.634362,2449.067222
536.989908,2490.330000
537.345411,2441.785556
537.700870,2451.494444
538.056285,2536.447222
538.411656,2458.776111
538.766983,2466.057778
539.122267,2485.475556
539.477507,2568.001111
539.832703,2580.137222
540.187855,2541.301667
540.542963,2531.592778
540.898028,2517.029444
541.253048,2553.437778
541.608025,2538.874444
541.962958,2524.311111
542.317847,2534.020000
542.672692,2521.883889
543.027493,2517.029444
543.382251,2456.348889
543.736964,2531.592778
544.091633,2502.466111
544.446259,2529.165556
544.800840,2565.573889
545.155378,2512.175000
545.509872,2500.038889
545.864321,2529.165556
546.218727,2461.203333
546.573089,2502.466111
546.927407,2495.184444
547.281681,2597.127778
547.635911,2529.165556
547.990096,2558.292222
548.344238,2514.602222
548.698336,2541.301667
549.052390,2509.747778
549.406400,2524.311111
549.760365,2524.311111
550.114287,2594.700556
550.468165,2543.728889
550.821998,2524.311111
551.175788,2546.156111
551.529533,2536.447222
551.883234,2570.428333
552.236892,2580.137222
552.590505,2570.428333
552.944074,2555.865000
553.297599,2565.573889
553.651079,2558.292222
554.004516,2611.691111
554.357909,2631.108889
554.711257,2531.592778
555.064561,2575.282778
555.417821,2592.273333
555.771037,2521.883889
556.124209,2502.466111
556.477337,2592.273333
556.830420,2584.991667
557.183459,2604.409444
557.536454,2587.418889
557.889405,2645.672222
558.242312,2672.371667
558.595174,2614.118333
558.947992,2740.333889
559.300766,2572.855556
559.653496,2635.963333
560.006181,2599.555000
560.358822,2754.897222
560.711419,2677.226111
561.063972,2628.681667
561.416480,2660.235556
561.768944,2650.526667
562.121364,2699.071111
562.473739,2650.526667
562.826071,2728.197778
563.178357,2672.371667
563.530600,2730.625000
563.882798,2735.479444
564.234952,2750.042778
564.587061,2764.606111
564.939126,2716.061667
565.291147,2813.150556
565.643124,2742.761111
565.995056,2779.169444
566.346943,2849.558889
566.698786,2820.432222
567.050585,2825.286667
567.402340,2801.014444
567.754050,2774.315000
568.105715,2810.723333
568.457336,2902.957778
568.808913,2847.131667
569.160445,2927.230000
569.511933,2859.267778
569.863377,2830.141111
570.214776,2905.385000
570.566130,3012.182778
570.917440,3058.300000
571.268705,2932.084444
571.619926,2995.192222
571.971103,3031.600556
572.322235,3094.708333
572.673322,3070.436111
573.024365,3123.835000
573.375364,3155.388889
573.726318,3152.961667
574.077227,3194.224444
574.428092,3186.942778
574.778912,3301.022222
575.129687,3361.702778
575.480419,3339.857778
575.831105,3250.050556
576.181747,3444.228333
576.532344,3473.355000
576.882897,3497.627222
577.233405,3473.355000
577.583868,3480.636667
577.934287,3587.434444
578.284661,3548.598889
578.634991,3677.241667
578.985276,3796.175556
579.335516,3752.485556
579.685712,3835.011111
580.035863,3849.574444
580.385969,4014.625556
580.736030,4017.052778
581.086047,4024.334444
581.436019,4162.686111
581.785947,4267.056667
582.135829,4301.037778
582.485667,4393.272222
582.835461,4349.582222
583.185209,4504.924444
583.534913,4568.032222
583.884572,4589.877222
584.234186,4713.665556
584.583756,4968.523889
584.933281,4983.087222
585.282761,4922.406667
585.632196,4917.552222
585.981586,5145.711111
586.330932,5281.635556
586.680233,5220.955000
587.029488,5478.240556
587.378700,5412.705556
587.727866,5599.601667
588.076987,5575.329444
588.426064,5703.972222
588.775096,5750.089444
589.124083,5873.877778
589.473025,5796.206667
589.821922,5852.032778
590.170774,5990.384444
590.519581,5900.577222
590.868344,5847.178333
591.217061,5759.798333
591.565734,5742.807778
591.914362,5648.146111
592.262944,5495.231111
592.611482,5531.639444
592.959975,5327.752778
593.308423,5271.926667
593.656826,5048.622222
594.005184,4992.796111
594.353497,4922.406667
594.701765,4718.520000
595.049988,4521.915000
595.398167,4342.300556
595.746300,4313.173889
596.094388,4254.920556
596.442431,4143.268333
596.790429,4038.897778
597.138382,3842.292778
597.486290,3890.837222
597.834153,3769.476111
598.181971,3742.776667
598.529744,3735.495000
598.877471,3611.706667
599.225154,3504.908889
599.572792,3560.735000
599.920384,3534.035556
600.267931,3456.364444
600.615434,3390.829444
600.962891,3342.285000
601.310303,3325.294444
601.657670,3250.050556
602.004992,3293.740556
602.352268,3245.196111
602.699500,3162.670556
603.046686,3233.060000
603.393827,3116.553333
603.740923,3055.872778
604.087974,3026.746111
604.434980,3029.173333
604.781940,2958.783889
605.128856,2905.385000
605.475726,2902.957778
605.822551,2893.248889
606.169330,2866.549444
606.516065,2912.666667
606.862754,2890.821667
607.209398,2827.713889
607.555996,2750.042778
607.902550,2769.460556
608.249058,2764.606111
608.595521,2718.488889
608.941938,2735.479444
609.288311,2745.188333
609.634637,2701.498333
609.980919,2703.925556
610.327156,2730.625000
610.673347,2718.488889
611.019492,2631.108889
611.365593,2652.953889
611.711648,2616.545556
612.057657,2623.827222
612.403622,2633.536111
612.749541,2618.972778
613.095414,2536.447222
613.441243,2606.836667
613.787026,2672.371667
614.132763,2555.865000
614.478455,2568.001111
614.824102,2633.536111
615.169703,2611.691111
615.515259,2541.301667
615.860769,2589.846111
616.206234,2611.691111
616.551654,2618.972778
616.897028,2643.245000
617.242356,2524.311111
617.587639,2563.146667
617.932877,2541.301667
618.278069,2534.020000
618.623216,2570.428333
618.968317,2526.738333
619.313373,2512.175000
619.658383,2543.728889
620.003348,2575.282778
620.348267,2543.728889
620.693140,2662.662778
621.037969,2597.127778
621.382751,2589.846111
621.727488,2575.282778
622.072179,2526.738333
622.416825,2497.611667
622.761426,2592.273333
623.105980,2621.400000
623.450489,2551.010556
623.794953,2555.865000
624.139371,2546.156111
624.483743,2551.010556
624.828070,2507.320556
625.172351,2480.621111
625.516586,2531.592778
625.860776,2555.865000
626.204920,2548.583333
626.549018,2551.010556
626.893071,2558.292222
627.237078,2529.165556
627.581040,2584.991667
627.924955,2490.330000
628.268825,2592.273333
628.612650,2509.747778
628.956428,2558.292222
629.300161,2614.118333
629.643849,2509.747778
629.987490,2551.010556
630.331086,2572.855556
630.674636,2563.146667
631.018140,2599.555000
631.361599,2572.855556
631.705011,2504.893333
632.048378,2565.573889
632.391699,2507.320556
632.734975,2519.456667
633.078204,2536.447222
633.421388,2536.447222
633.764526,2507.320556
634.107618,2555.865000
634.450664,2538.874444
634.793665,2507.320556
635.136619,2541.301667
635.479528,2526.738333
635.822391,2541.301667
636.165208,2509.747778
636.507979,2565.573889
636.850705,2495.184444
637.193384,2555.865000
637.536018,2543.728889
637.878605,2485.475556
638.221147,2531.592778
638.563643,2555.865000
638.906093,2478.193889
639.248497,2526.738333
639.590855,2521.883889
639.933167,2621.400000
640.275433,2521.883889
640.617653,2623.827222
640.959827,2478.193889
641.301956,2490.330000
641.644038,2584.991667
641.986074,2461.203333
642.328064,2507.320556
642.670009,2492.757222
643.011907,2568.001111
643.353759,2502.466111
643.695565,2504.893333
644.037326,2565.573889
644.379040,2587.418889
644.720708,2490.330000
645.062330,2572.855556
645.403906,2526.738333
645.745436,2483.048333
646.086920,2446.640000
646.428357,2485.475556
646.769749,2492.757222
647.111095,2502.466111
647.452394,2524.311111
647.793647,2589.846111
648.134855,2502.466111
648.476016,2485.475556
648.817131,2495.184444
649.158199,2478.193889
649.499222,2548.583333
649.840199,2490.330000
650.181129,2541.301667
650.522013,2575.282778
650.862851,2521.883889
651.203643,2451.494444
651.544389,2432.076667
651.885088,2514.602222
652.225741,2541.301667
652.566348,2504.893333
652.906909,2519.456667
653.247423,2495.184444
653.587892,2497.611667
653.928314,2485.475556
654.268690,2449.067222
654.609019,2529.165556
654.949302,2517.029444
655.289539,2555.865000
655.629730,2526.738333
655.969875,2565.573889
656.309973,2519.456667
656.650024,2570.428333
656.990030,2502.466111
657.329989,2415.086111
657.669902,2483.048333
658.009769,2616.545556
658.349589,2543.728889
658.689363,2504.893333
659.029090,2500.038889
659.368771,2461.203333
659.708406,2475.766667
660.047994,2541.301667
